task,scorer,fit_on,test,auc,ci_lo,ci_hi,n_pos,n_neg
T1_frozen_vs_reference,phase|lr,TW:IRA,TW:IRA,0.8882,0.8708,0.905,875,523
T1_frozen_vs_reference,phase|lr,TW:IRA,TW:Iran,0.8479,0.8112,0.8847,148,523
T1_frozen_vs_reference,phase|lr,TW:IRA,TW:Venezuela,0.6335,0.5914,0.6758,223,523
T1_frozen_vs_reference,phase|lr,TW:IRA,TW:China,0.6373,0.6131,0.6636,1030,523
T1_frozen_vs_reference,phase|lr,TW:IRA,TW:GRU,0.9041,0.8325,0.9679,30,523
T1_frozen_vs_reference,phase|lr,TW:IRA,RD:IRA|matched,0.857,0.8054,0.9032,96,168
T1_frozen_vs_reference,phase|lr,TW:IRA,RD:IRA|unmatched,0.8897,0.8428,0.9287,96,643
T1_frozen_vs_reference,phase|lr,TW:Iran,TW:IRA,0.7837,0.7571,0.8072,875,523
T1_frozen_vs_reference,phase|lr,TW:Iran,TW:Iran,0.9365,0.9152,0.9587,148,523
T1_frozen_vs_reference,phase|lr,TW:Iran,TW:Venezuela,0.5743,0.5324,0.6146,223,523
T1_frozen_vs_reference,phase|lr,TW:Iran,TW:China,0.3916,0.3633,0.4205,1030,523
T1_frozen_vs_reference,phase|lr,TW:Iran,TW:GRU,0.8325,0.7276,0.9216,30,523
T1_frozen_vs_reference,phase|lr,TW:Iran,RD:IRA|matched,0.7936,0.7292,0.8461,96,168
T1_frozen_vs_reference,phase|lr,TW:Iran,RD:IRA|unmatched,0.8294,0.7703,0.8819,96,643
T1_frozen_vs_reference,phase|lr,TW:Venezuela,TW:IRA,0.4636,0.4339,0.49,875,523
T1_frozen_vs_reference,phase|lr,TW:Venezuela,TW:Iran,0.3304,0.2766,0.383,148,523
T1_frozen_vs_reference,phase|lr,TW:Venezuela,TW:Venezuela,0.8223,0.7875,0.8528,223,523
T1_frozen_vs_reference,phase|lr,TW:Venezuela,TW:China,0.2,0.1785,0.2218,1030,523
T1_frozen_vs_reference,phase|lr,TW:Venezuela,TW:GRU,0.149,0.0859,0.2072,30,523
T1_frozen_vs_reference,phase|lr,TW:Venezuela,RD:IRA|matched,0.5559,0.484,0.6317,96,168
T1_frozen_vs_reference,phase|lr,TW:Venezuela,RD:IRA|unmatched,0.5321,0.4588,0.6033,96,643
T1_frozen_vs_reference,phase|lr,TW:China,TW:IRA,0.6047,0.5736,0.6351,875,523
T1_frozen_vs_reference,phase|lr,TW:China,TW:Iran,0.7202,0.6651,0.7816,148,523
T1_frozen_vs_reference,phase|lr,TW:China,TW:Venezuela,0.2823,0.2443,0.321,223,523
T1_frozen_vs_reference,phase|lr,TW:China,TW:China,0.9314,0.9175,0.943,1030,523
T1_frozen_vs_reference,phase|lr,TW:China,TW:GRU,0.8803,0.797,0.9481,30,523
T1_frozen_vs_reference,phase|lr,TW:China,RD:IRA|matched,0.6133,0.5488,0.6846,96,168
T1_frozen_vs_reference,phase|lr,TW:China,RD:IRA|unmatched,0.6512,0.5783,0.7168,96,643
T1_frozen_vs_reference,phase|gbm,TW:IRA,TW:IRA,0.9789,0.9721,0.9845,875,523
T1_frozen_vs_reference,phase|gbm,TW:IRA,TW:Iran,0.8345,0.7999,0.8672,148,523
T1_frozen_vs_reference,phase|gbm,TW:IRA,TW:Venezuela,0.7855,0.7535,0.818,223,523
T1_frozen_vs_reference,phase|gbm,TW:IRA,TW:China,0.7213,0.6963,0.7436,1030,523
T1_frozen_vs_reference,phase|gbm,TW:IRA,TW:GRU,0.9087,0.8659,0.949,30,523
T1_frozen_vs_reference,phase|gbm,TW:IRA,RD:IRA|matched,0.9134,0.8728,0.9466,96,168
T1_frozen_vs_reference,phase|gbm,TW:IRA,RD:IRA|unmatched,0.9225,0.8867,0.952,96,643
T1_frozen_vs_reference,phase|gbm,TW:Iran,TW:IRA,0.837,0.8143,0.8571,875,523
T1_frozen_vs_reference,phase|gbm,TW:Iran,TW:Iran,0.9662,0.9522,0.9792,148,523
T1_frozen_vs_reference,phase|gbm,TW:Iran,TW:Venezuela,0.6492,0.6102,0.6872,223,523
T1_frozen_vs_reference,phase|gbm,TW:Iran,TW:China,0.8122,0.7899,0.8332,1030,523
